Variant Annotation ID	Variant/Haplotypes	Drug(s)	Phenotype Category	Significance	Sentence	Allele Of Frequency In Cases	Allele Of Frequency In Controls	P Value	Ratio Stat Type	Ratio Stat	Confidence Interval Start	Confidence Interval Stop
1448997750	CYP2B6*1, CYP2B6*18	efavirenz	Metabolism/PK	yes	CYP2B6 *1/*18 is associated with increased concentrations of efavirenz in people with HIV Infections as compared to CYP2B6 *1/*1.			< 0.0001	OR			
1183632366	CYP2D6*1, CYP2D6*4	codeine	Metabolism/PK	yes	CYP2D6 *4/*4 is associated with decreased metabolism of codeine in people with Kidney Failure, Chronic as compared to CYP2D6 *1/*1 + *1/*4.			= 0.01	Unknown			
982047720	CYP2D6*2, CYP2D6*2xN	codeine	Metabolism/PK	not stated	CYP2D6 *2/*2xN is associated with increased metabolism of codeine.				Unknown			
827566506	CYP2D6*2, CYP2D6*2xN, CYP2D6*41	codeine	Metabolism/PK	yes	CYP2D6 *2xN/*41 (assigned as ultrarapid metabolizer phenotype phenotype) is associated with increased metabolism of codeine in healthy individuals as compared to CYP2D6 normal metabolizer.			= 0.02	Unknown			
1451330400	CYP2D6*1, CYP2D6*10	propafenone	Metabolism/PK	yes	CYP2D6 *10/*10 is associated with increased concentrations of propafenone in people with Arrhythmias, Cardiac as compared to CYP2D6 *1/*1.	*10		< 0.05	Unknown			
1451330363	CYP2D6*1, CYP2D6*10	propafenone	Efficacy	yes	CYP2D6 *10/*10 is associated with increased response to propafenone in people with Arrhythmias, Cardiac as compared to CYP2D6 *1/*1.	*10		< 0.05	Unknown			
1449716526	CYP3A4*1, CYP3A4*36	fentanyl	Metabolism/PK	yes	CYP3A4 *36/*36 is associated with increased concentrations of fentanyl in people with Pain, Postoperative as compared to CYP3A4 *1/*1 + *1/*36.	*36		< 0.01	OR			
1449716742	CYP3A4*1, CYP3A4*36	fentanyl	Dosage	yes	CYP3A4 *36/*36 is associated with decreased dose of fentanyl in women with Pain, Postoperative as compared to CYP3A4 *1/*1 + *1/*36.	*36		< 0.05	OR			
1451153720	CYP2D6*1, CYP2D6*1xN, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	(R)-methadone,(S)-methadone	Metabolism/PK	yes	CYP2D6 *1/*1xN is associated with decreased concentrations of (R)-methadone and (S)-methadone in people with Heroin Dependence as compared to CYP2D6 *1/*1 + *1/*3 + *1/*4 + *1/*5 + *1/*6 (assigned as normal metabolizer genotype phenotype) .			= 0.024				
1451153720	CYP2D6*1, CYP2D6*1xN, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	(R)-methadone,(S)-methadone	Metabolism/PK	yes	CYP2D6 *1/*1xN is associated with decreased concentrations of (R)-methadone and (S)-methadone in people with Heroin Dependence as compared to CYP2D6 *1/*1 + *1/*3 + *1/*4 + *1/*5 + *1/*6 (assigned as normal metabolizer genotype phenotype) .			= 0.033				
