Variant Annotation ID	Variant/Haplotypes	Drug(s)	Phenotype Category	Significance	Sentence	Allele Of Frequency In Cases	Allele Of Frequency In Controls	P Value	Ratio Stat Type	Ratio Stat	Confidence Interval Start	Confidence Interval Stop
1451306860	CYP2C9*11	warfarin	Dosage	not stated	CYP2C9 *11/*11 is associated with decreased dose of warfarin.							
1451205960	CYP2D6*2	tramadol	Efficacy	no	CYP2D6 *2 is not associated with response to tramadol in people with Neuralgia.			= 0.467				
1451205960	CYP2D6*2	tramadol	Efficacy	no	CYP2D6 *2 is not associated with response to tramadol in people with Neuralgia.			= 0.769				
1451155580	CYP2D6 poor metabolizer	tramadol	PD	not stated	CYP2D6 poor metabolizer is associated with decreased response to tramadol in healthy individuals as compared to CYP2D6 normal metabolizer.							
1451155685	CYP2D6 poor metabolizer phenotype	tramadol	Efficacy	yes	CYP2D6 poor metabolizer phenotype is associated with increased response to tramadol in people with Phantom limb syndrome as compared to CYP2D6 normal metabolizer phenotype.			< 0.01				
1451156320	CYP2D6 poor metabolizer genotype	methadone	Efficacy	no	CYP2D6 poor metabolizer genotype is not associated with response to methadone in people with Heroin Dependence as compared to CYP2D6 normal metabolizer genotype.							
1451156302	CYP2D6 ultrarapid metabolizer genotype	methadone	Efficacy	yes	CYP2D6 ultrarapid metabolizer genotype is associated with decreased response to methadone in people with Heroin Dependence as compared to CYP2D6 normal metabolizer and poor metabolizers genotypes.			= 0.003				
1451343500	CYP2C19*1	rabeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to rabeprazole in people with Gastroesophageal Reflux as compared to CYP2C19 *1/*1.							
1184763829	HLA-B*58:01	allopurinol	Toxicity	yes	HLA-B *58:01 is associated with decreased concentrations of allopurinol.			< 0.05	OR			
1451353708	CYP2D6 ultrarapid metabolizer	eliglustat	Dosage	not stated	CYP2D6 ultrarapid metabolizer is associated with increased dose of eliglustat in people with Gaucher Disease as compared to CYP2D6 intermediate metabolizer and normal metabolizer.							
1448276612	CYP3A5*3	tacrolimus	Dosage	not stated	CYP3A5 *3 is associated with decreased dose of tacrolimus in people with Kidney Transplantation.	*1			OR			
1448276515	CYP4F2*3	warfarin	Dosage	not stated	CYP4F2 *3 is associated with dose of warfarin.	*3			OR			
1450928657	CYP2A6 low activity	varenicline	Efficacy	no	CYP2A6 low activity is not associated with response to varenicline in people with Tobacco Use Disorder.				HR	0.7	0.28	1.75
1450928657	CYP2A6 low activity	varenicline	Efficacy	no	CYP2A6 low activity is not associated with response to varenicline in people with Tobacco Use Disorder.				HR	0.48	0.14	1.7
1450928649	CYP2A6 high activity	varenicline	Efficacy	yes	CYP2A6 high activity is associated with increased response to varenicline in people with Tobacco Use Disorder.				HR	0.33	0.12	0.89
1450928649	CYP2A6 high activity	varenicline	Efficacy	yes	CYP2A6 high activity is associated with increased response to varenicline in people with Tobacco Use Disorder.				HR	0.45	0.2	1.0
1183849101	SLC6A4 HTTLPR short form (S allele)	paroxetine	Efficacy	yes	SLC6A4 HTTLPR short form (S allele)/HTTLPR short form (S allele) is associated with increased response to paroxetine.			= 0.012	OR			
1451141965	NAT2 slow acetylator	hydralazine	Efficacy	not stated	NAT2 slow acetylator is associated with increased response to hydralazine in people with Hypertension as compared to NAT2 rapid acetylator.			< 0.02				
1183619942	CYP2C19*1	omeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to omeprazole in people with Gastroesophageal Reflux.	*2		= 0.15	Unknown			
1183619942	CYP2C19*1	omeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to omeprazole in people with Gastroesophageal Reflux.	*2		= 0.41	Unknown			
1447519907	CYP2D6 ultrarapid metabolizer genotype	nortriptyline	Dosage	no	CYP2D6 ultrarapid metabolizer genotype are not associated with dose of nortriptyline in people with Depressive Disorder, Major as compared to CYP2D6 normal metabolizers.				OR			
1451125800	CYP2C19 poor metabolizer and intermediate metabolizer genotypes	clozapine	Efficacy	no	CYP2C19 poor metabolizer and intermediate metabolizer genotypes are not associated with response to clozapine in people with Schizophrenia as compared to CYP2C19 normal metabolizer genotype.			= 0.120				
1451125746	CYP2D6 poor metabolizer and intermediate metabolizer genotypes	clozapine	Efficacy	no	CYP2D6 poor metabolizer and intermediate metabolizer genotypes are not associated with response to clozapine in people with Schizophrenia as compared to CYP2D6 normal metabolizer genotype.			= 0.738				
1451125804	CYP2C19 rapid and ultrarapid metabolizer genotypes	clozapine	Efficacy	no	CYP2C19 rapid and ultrarapid metabolizer genotypes are not associated with response to clozapine in people with Schizophrenia as compared to CYP2C19 normal metabolizer genotype.			= 0.120				
1183623333	CYP2C19*1	rabeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to rabeprazole in people with Ulcer.	*1		> 0.05	Unknown			
1446765775	CYP2B6*6	bupropion	Efficacy	no	CYP2B6 *6 is not associated with response to bupropion in people with Tobacco Use Disorder.			= 0.11	OR	0.64	0.38	1.08
1183685537	CYP2D6 poor metabolizer phenotype	atomoxetine	Efficacy	no	CYP2D6 poor metabolizer phenotype is not associated with response to atomoxetine in children with Attention Deficit Disorder with Hyperactivity as compared to CYP2D6 normal metabolizer phenotype.				OR			
1444930545	CYP2C19*17	voriconazole	Efficacy	not stated	CYP2C19 *17/*17 is associated with decreased response to voriconazole in women with Mycoses.				OR			
1183620725	CYP2C19*1	rabeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to rabeprazole in healthy individuals.	*1		= 0.150	Unknown			
1183620822	CYP2C19*1	omeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to omeprazole in people with Gastroesophageal Reflux.	*1		= 0.05	Unknown			
1447814040	CYP2D6 poor metabolizers	atomoxetine	Efficacy	no	CYP2D6 poor metabolizers are not associated with response to atomoxetine in children with Attention Deficit Disorder with Hyperactivity as compared to CYP2D6 normal metabolizers.			= 0.56	OR			
1448616662	HLA-C*06:02:01:01	methotrexate	Efficacy	yes	HLA-C *06:02:01:01 is associated with increased response to methotrexate in people with Psoriasis.			= 0.002	OR	2.75	1.45	5.22
1449717747	CYP2D6*4	metoprolol	Dosage	yes	CYP2D6 *4 is associated with decreased dose of metoprolol in people with Heart Failure.	*4		= 0.023	OR	0.13	0.02	0.75
1451404282	CYP2D6 poor metabolizer and intermediate metabolizer genotypes	codeine	Efficacy	not stated	CYP2D6 poor metabolizer and intermediate metabolizer genotypes are associated with decreased response to codeine in people with Pain as compared to CYP2D6 normal metabolizer and ultrarapid metabolizer genotypes.			= 0.08	OR	0.35	0.14	0.84
1451406100	CYP2C8 poor metabolizer and intermediate metabolizer genotypes	ibuprofen	Efficacy	no	CYP2C8 poor metabolizer and intermediate metabolizer genotypes are not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP2C8 normal metabolizer genotype.			= 0.129				
1451406100	CYP2C8 poor metabolizer and intermediate metabolizer genotypes	ibuprofen	Efficacy	no	CYP2C8 poor metabolizer and intermediate metabolizer genotypes are not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP2C8 normal metabolizer genotype.			= 0.176				
1451406100	CYP2C8 poor metabolizer and intermediate metabolizer genotypes	ibuprofen	Efficacy	no	CYP2C8 poor metabolizer and intermediate metabolizer genotypes are not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP2C8 normal metabolizer genotype.			= 0.437				
1451406100	CYP2C8 poor metabolizer and intermediate metabolizer genotypes	ibuprofen	Efficacy	no	CYP2C8 poor metabolizer and intermediate metabolizer genotypes are not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP2C8 normal metabolizer genotype.			= 0.471				
1451406140	CYP2C9 poor metabolizer and intermediate metabolizer genotypes	ibuprofen	Efficacy	no	CYP2C9 poor metabolizer and intermediate metabolizer genotypes are not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP2C9 normal metabolizer genotype.			= 0.423				
1451406140	CYP2C9 poor metabolizer and intermediate metabolizer genotypes	ibuprofen	Efficacy	no	CYP2C9 poor metabolizer and intermediate metabolizer genotypes are not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP2C9 normal metabolizer genotype.			= 0.635				
1451406140	CYP2C9 poor metabolizer and intermediate metabolizer genotypes	ibuprofen	Efficacy	no	CYP2C9 poor metabolizer and intermediate metabolizer genotypes are not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP2C9 normal metabolizer genotype.			= 0.730				
1451406140	CYP2C9 poor metabolizer and intermediate metabolizer genotypes	ibuprofen	Efficacy	no	CYP2C9 poor metabolizer and intermediate metabolizer genotypes are not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP2C9 normal metabolizer genotype.			= 0.776				
1451406240	CYP3A5 poor metabolizer and intermediate metabolizer genotypes	ibuprofen	Efficacy	no	CYP3A5 poor metabolizer and intermediate metabolizer genotypes are not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP3A5 normal metabolizer genotype.			= 0.053				
1451406240	CYP3A5 poor metabolizer and intermediate metabolizer genotypes	ibuprofen	Efficacy	no	CYP3A5 poor metabolizer and intermediate metabolizer genotypes are not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP3A5 normal metabolizer genotype.			= 0.406				
1451406240	CYP3A5 poor metabolizer and intermediate metabolizer genotypes	ibuprofen	Efficacy	no	CYP3A5 poor metabolizer and intermediate metabolizer genotypes are not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP3A5 normal metabolizer genotype.			= 0.620				
1451406240	CYP3A5 poor metabolizer and intermediate metabolizer genotypes	ibuprofen	Efficacy	no	CYP3A5 poor metabolizer and intermediate metabolizer genotypes are not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP3A5 normal metabolizer genotype.			= 0.704				
1451406173	CYP2C19 poor metabolizer and intermediate metabolizer genotypes	ibuprofen	Efficacy	no	CYP2C19 poor metabolizer and intermediate metabolizer genotypes is not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP2C19 normal metabolizer and ultrarapid metabolizer genotypes.			= 0.516				
1451406173	CYP2C19 poor metabolizer and intermediate metabolizer genotypes	ibuprofen	Efficacy	no	CYP2C19 poor metabolizer and intermediate metabolizer genotypes is not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP2C19 normal metabolizer and ultrarapid metabolizer genotypes.			= 0.812				
1451406173	CYP2C19 poor metabolizer and intermediate metabolizer genotypes	ibuprofen	Efficacy	no	CYP2C19 poor metabolizer and intermediate metabolizer genotypes is not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP2C19 normal metabolizer and ultrarapid metabolizer genotypes.			= 0.828				
